"","tract","rev","human_services","education","public","religion","arts","health","total","oth","perc_poverty","perc_male_occ","female_headed","crowded_housing","public_assistance","under_30k","less_hs","unemployment","ndi"
"205","138107",119015,2,0,2,0,0,0,4,2,0.1,0,0.1,0,0.1,0.2,0.1,0,-0.0105
"206","138108",0,0,0,0,0,0,0,1,1,0.1,0,0,0,0.1,0.3,0.1,0.1,-0.0073
"207","138109",9011044,5,0,3,1,1,0,10,3,0.1,0,0.1,0,0.1,0.3,0.1,0,-0.0127
"208","138110",0,1,0,0,0,0,0,1,0,0.1,0,0,0,0.1,0.3,0.1,0.1,-0.0165
"209","140100",0,2,0,0,0,0,0,2,0,0.2,0,0.1,0,0.1,0.3,0,0.1,-0.0072
"210","140301",1903520,1,0,0,1,0,0,2,0,0.3,0,0.2,0,0.3,0.4,0.1,0.3,0.0466
"211","140302",1674118,3,0,1,0,0,0,4,1,0.2,0.2,0.1,0,0.3,0.4,0.1,0.1,-0.0065
"212","140400",484698,1,0,2,0,2,0,5,2,0.2,0.1,0.1,0,0.2,0.3,0.1,0.1,-8e-04
"213","140500",160916,2,2,0,0,4,0,8,0,0.2,0,0.2,0,0.2,0.4,0.1,0.2,0.0233
"214","140600",145703,0,0,1,0,2,0,3,1,0.2,0,0.1,0,0.1,0.2,0.1,0.1,-0.005
"215","140701",16607960,3,2,1,0,2,0,12,5,0.3,0,0.2,0,0.3,0.4,0.1,0.2,0.0285
"216","140702",6513033,1,2,0,2,0,0,6,1,0.2,0.1,0.1,0,0.3,0.4,0.2,0.1,0.0105
"217","140800",1706348,5,4,3,4,4,3,29,9,0.3,0.1,0.1,0,0.3,0.4,0.1,0,-0.0043
"218","140900",368432,0,1,1,1,0,0,3,1,0.1,0,0.1,0,0.2,0.3,0,0.2,0.0018
"219","141000",164784,0,0,0,0,0,0,1,1,0.4,0.1,0.2,0.1,0.3,0.5,0.1,0.2,0.059
"220","141100",241574,4,0,0,0,1,1,6,0,0.3,0.2,0,0,0.1,0.4,0.1,0.1,-0.024
"221","141200",1216294,0,2,1,0,3,0,6,1,0.1,0.1,0,0,0,0.2,0,0,-0.0404
"222","141300",2352329,2,3,1,1,2,1,10,1,0.1,0.1,0,0,0,0.2,0,0.1,-0.0394
"223","141400",1178204,4,1,1,0,1,1,8,1,0,0.2,0,0,0,0.1,0,0,-0.0536
"224","141500",534048,1,0,0,1,1,0,3,0,0.2,0.2,0,0,0.1,0.3,0,0,-0.0422
"225","141601",5053580,2,2,4,1,0,0,10,5,0.1,0.1,0,0,0,0.1,0,0,-0.0478
